Library,url,postcode
Haslemere,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/haslemere-library,KT1 2DN
Hastings,http://www.eastsussex.gov.uk/libraries/find/hastings/default.htm,TN34 1HE
Hawkhurst Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=101&uprn=100062553218,TN18 4EY
Headcorn Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=56&uprn=200003699941,TN27 9QT
Headington,http://www.oxfordshire.gov.uk/cms/content/headington-library,OX3 9HY
Hebden Bridge library,http://www.calderdale.gov.uk/leisure/libraries/branches/hebdenbridge.html,HX7 8EP
Henley,http://www.oxfordshire.gov.uk/cms/content/henley-library,RG9 2DH
Herne Bay Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=10&uprn=100062302754,CT6 5JY
Hersham,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/hersham-library,KT1 2DN
High Wycombe library,http://www.buckscc.gov.uk/leisure-and-culture/libraries/find-a-library/high-wycombe-library/#.UtQOUbTTL3U,HP11 2DH
Higham Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=44&uprn=100062390201,ME3 7BS
Hildenborough Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=94&uprn=100062544675,TN11 9HX
Hive House Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=45&uprn=100062311070,DA11 9DE
Home Library Service,http://www.rbwm.gov.uk/web/libraries_home_service.htm,SL6 1RF
Hook Norton,http://www.oxfordshire.gov.uk/cms/content/hook-norton-library,OX15 5NH
Horley,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/horley-library,KT1 2DN
Horsham,http://www.westsussex.gov.uk/leisure/libraries/find_a_library/horsham_library.aspx,RH12 1PJ
Horsley,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/horsley-library,KT1 2DN
Hythe Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=35&uprn=000050018994,CT21 6BQ
Kemsing Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=65&uprn=100062550165,TN15 6QD
Kennington,http://www.oxfordshire.gov.uk/cms/content/kennington-library,OX1 5PG
Kent History and Library Centre,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=275&uprn=010014309203,ME14 1LQ
Kidlington,http://www.oxfordshire.gov.uk/cms/content/kidlington-library,OX5 2BP
King's Farm Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=46&uprn=100062312829,DA12 5HR
Knaphill,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/knaphill-library,KT1 2DN
Larkfield Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=95&uprn=100062389622,ME20 6QW
Leatherhead,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/leatherhead-library,KT1 2DN
Lenham Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=4&uprn=200003727094,ME17 2PQ
Lewes,http://www.eastsussex.gov.uk/libraries/find/lewes/default.htm,BN7 2LZ
Lewisham Library,https://www.lewisham.gov.uk/contact-us/Pages/contact.aspx?directoryid=103&source=%2fmyservices%2flibraries%2fbranches%2fPages%2fLewisham-Library.aspx,SE13 6LG
Lightwater,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/lightwater-library,KT1 2DN
Lingfield,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/lingfield-library,KT1 2DN
Littlemore,http://www.oxfordshire.gov.uk/cms/content/littlemore-library,OX4 5JY
Longfield Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=18&uprn=200000538019,DA3 7QT
Lydd Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=36&uprn=000050001854,TN29 9HN
Lyminge Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=37&uprn=000050021163,CT18 8HS
Madginford Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=57&uprn=200003697524,ME15 8LH
Maidenhead,http://www.rbwm.gov.uk/web/libraries_maidenhead.htm,SL6 1RF
Maidstone library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=274&uprn=010014309203,ME14 1LQ
Manor House Library,https://www.lewisham.gov.uk/contact-us/Pages/contact.aspx?directoryid=93&source=%2fmyservices%2flibraries%2fbranches%2fPages%2fmanor-house-library.aspx,SE13 5SY
Marden Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=58&uprn=200003710862,TN12 9DP
Margate Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=81&uprn=100062305105,CT9 1RE
Marling Cross Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=47&uprn=100062312706,DA12 5TY
Meopham Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=48&uprn=100062313205,DA13 0AH
Merstham,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/merstham-library,KT1 2DN
Minster-in-Sheppey Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=77&uprn=100062378600,ME12 3NP
Minster-in-Thanet Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=125&uprn=100062284041,CT12 4EA
Molesey,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/molesey-library,KT1 2DN
Music and Drama Service,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=272&pcd=ME19%204AL,ME19 4AL
Neithrop,http://www.oxfordshire.gov.uk/cms/content/neithrop-library,OX16 0AT
New Ash Green Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=66&uprn=010035182341,DA3 8QT
New Haw,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/new-haw-community-library,KT1 2DN
New Romney Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=38&uprn=000050003374,TN28 8AU
Newcastle City Library,https://www.newcastle.gov.uk/your-council-and-democracy/contact-the-council,NE1 8QH
Newington Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=86&uprn=100062284273,CT12 6NB
North Leigh,http://www.oxfordshire.gov.uk/cms/content/north-leigh-library,OX29 6SA
Old Marston,http://www.oxfordshire.gov.uk/cms/content/old-marston-library,OX3 0PH
Old Windsor,http://www.rbwm.gov.uk/web/libraries_oldwindsor.htm,SL6 1RF
Otford Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=67&uprn=100062621712,TN14 5PQ
Oxford Central,http://www.oxfordshire.gov.uk/cms/content/oxford-central-library,OX1 1DJ
Oxted,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/oxted-library,KT1 2DN
Paddock Wood Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=103&uprn=100062545691,TN12 6EN
Pembury Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=104&uprn=010008663884,TN2 4HS
Queenborough Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=78&uprn=200002531812,ME11 5AY
Ramsgate Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=87&uprn=200002513204,CT11 9AY
Rastrick library,http://www.calderdale.gov.uk/leisure/libraries/branches/rastrick.html,HD6 3NE
Redhill,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/redhill-library,KT1 2DN
Reigate,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/reigate-library,KT1 2DN
Riverhead Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=68&uprn=100062547772,TN13 2BU
Riverview Park Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=49&uprn=100062668779,DA12 4NG
Rusthall Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=105&uprn=010000063884,TN4 8RZ
Sandgate Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=39&uprn=000050027179,CT20 3RR
Sandwich Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=30&uprn=010034883329,CT13 9DA
Seal Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=70&uprn=050002019523,TN15 0AL
Sevenoaks Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=62&uprn=100062546713,TN13 1LQ
Sheerness Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=79&uprn=010035063334,ME12 1NL
Shepperton,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/shepperton-library,KT1 2DN
Shepway Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=59&uprn=200003713239,ME15 7LW
Sherwood Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=106&uprn=010008669614,TN2 3LZ
Showfields Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=107&uprn=100062555380,TN2 5PR
Sittingbourne Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=74&uprn=200002532058,ME10 4AH
Snodland Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=96&uprn=100062628683,ME6 5DA
Sonning Common,http://www.oxfordshire.gov.uk/cms/content/sonning-common-library,RG4 9RH
Southborough Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=108&uprn=100062585378,TN4 0BA
St. Margaret's-at-Cliffe Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=29&uprn=100062288028,CT15 6BB
Staines,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/staines-library,KT1 2DN
Stanhope Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=5&uprn=010012858731,TN23 5TH
Stanwell,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/stanwell-community-library-and-information-centre,KT1 2DN
Staplehurst Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=60&uprn=010014314075,TN12 0LA
Stoneleigh,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/stoneleigh-library,KT1 2DN
Stonesfield,http://www.oxfordshire.gov.uk/cms/content/stonesfield-library,OX29 8EF
Sturry Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=11&uprn=200000682703,CT2 0BA
Summerhouse Drive Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=19&uprn=100062317391,DA5 2EE
Summertown,http://www.oxfordshire.gov.uk/cms/content/summertown-library,OX2 7JN
Sunbury,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/sunbury-library,KT1 2DN
Sunninghill,http://www.rbwm.gov.uk/web/libraries_sunninghill.htm,SL6 1RF
Sutton-at-Hone Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=20&uprn=200000535230,DA4 9HQ
Swalecliffe Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=12&uprn=100062301035,CT5 2LX
Swan Valley Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=131&uprn=010002021803,DA10 0BB
